subjects;semesters;credits;compulsory
Human-Computer Interaction;1 (Autumn);10;Yes
Professional Development;1 (Autumn);10;Yes
Statistical Decision Making;1 (Autumn);10;Yes
Discrete Mathematics;3 (Autumn);10;No
Data Structures and Algorithms;3 (Autumn);10;No
Systems Analysis and Design;3 (Autumn);10;Yes
Operating Systems Programming;3 (Autumn);10;Yes
Computer Networks and Internets ;5 (Autumn);10;Yes
Object Oriented Analysis;5 (Autumn);10;Yes
Technologies for Web Applications;5 (Autumn);10;Yes
Wireless and Mobile Networks;5 (Autumn);10;No
